sexo,edad,pobreza,y1,ytotcorh,ytot,y2_hrs,tot_per,n_ocupados,n_desocupados,v19,pobreza_sinte,asiste2,esc,educ,activ,activ2,ocup_inf,sist_salud,expr
Mujer,23,No pobres,,816667,,,4,1,0,250000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,184
Hombre,23,No pobres,650000,816667,816667,180,4,1,0,250000,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,184
Mujer,39,No pobres,240000,405778,405778,56,3,1,0,3e+05,Pobres no extremos sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,184
Hombre,15,No pobres,,405778,,,3,1,0,3e+05,Pobres no extremos sin transferencia Covid,Asiste,9,Media técnica profesional incompleta,Inactivos,Inactivos,,FONASA,184
Mujer,62,No pobres,2e+05,341771,241771,,2,1,0,2e+05,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,146
Hombre,40,No pobres,580000,768167,768167,180,3,1,0,180000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,97
Mujer,36,No pobres,,768167,,,3,1,0,180000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),97
Mujer,38,No pobres,3e+05,664167,3e+05,,4,1,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,97
Hombre,47,No pobres,,650000,650000,,4,1,0,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FF.AA. y del Orden y Otro Sistema,151
Mujer,58,No pobres,450000,2350000,450000,180,5,4,0,350000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,190
Hombre,56,No pobres,,2350000,450000,,5,4,0,350000,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,190
Hombre,38,No pobres,550000,741667,741667,180,2,1,0,330000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,233
Mujer,65,No pobres,,741667,,,2,1,0,330000,No pobres sin transferencia Covid,No asiste,19,Profesional completo,Inactivos,Inactivos,,Ninguno (particular),233
Mujer,57,No pobres,1500000,2e+06,1500000,176,1,1,0,5e+05,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,237
Hombre,25,No pobres,320000,639166,439166,190,2,2,0,250000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,63
Hombre,50,No pobres,,639166,2e+05,,2,2,0,250000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,63
Mujer,52,No pobres,3e+05,1527180,584200,160,6,2,1,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,461
Mujer,29,No pobres,,1527180,228980,,6,2,1,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,461
Hombre,29,No pobres,490000,1527180,714000,160,6,2,1,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,461
Hombre,18,No pobres,,1527180,,,6,2,1,350000,No pobres sin transferencia Covid,Asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,461
Hombre,41,No pobres,5e+05,5e+05,5e+05,160,1,1,0,120000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,461
Mujer,50,No pobres,320000,620000,320000,200,2,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,461
Hombre,20,No pobres,3e+05,620000,3e+05,200,2,2,0,,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,461
Mujer,59,No pobres,,462500,62500,,3,3,0,370000,No pobres sin transferencia Covid,No asiste,14,Profesional incompleto,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,126
Hombre,31,No pobres,,462500,,,3,3,0,370000,No pobres sin transferencia Covid,Asiste,15,Técnico nivel superior incompleta,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,126
Hombre,48,No pobres,,1228334,528334,,3,2,0,3e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,126
Mujer,52,No pobres,4e+05,1228334,4e+05,180,3,2,0,3e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,126
Hombre,32,No pobres,1800000,2409167,1884167,160,2,2,0,4e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,126
Hombre,37,No pobres,,4628815,,,6,4,0,5e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,158
Mujer,16,No pobres,,1100833,,,4,2,0,330000,No pobres sin transferencia Covid,Asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FF.AA. y del Orden y Otro Sistema,354
Mujer,40,No pobres,,1100833,500833,,4,2,0,330000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,354
Hombre,23,No pobres,,431250,2e+05,,2,1,1,180000,No pobres sin transferencia Covid,No asiste,13,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,91
Mujer,46,No pobres,,431250,231250,,2,1,1,180000,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Desocupados,Desocupados,,FONASA,91
Hombre,13,Pobres no extremos,,307961,,,3,1,0,220000,Pobres no extremos sin transferencia Covid,Asiste,,Básica completa,,,,FONASA,91
Mujer,36,Pobres no extremos,3e+05,307961,307961,160,3,1,0,220000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,91
Mujer,15,Pobres no extremos,,307961,,,3,1,0,220000,Pobres no extremos sin transferencia Covid,Asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FONASA,91
Mujer,24,Pobres no extremos,,366250,66250,,3,1,1,150000,Pobres no extremos sin transferencia Covid,No asiste,10,Media humanista incompleta,Desocupados,Desocupados,,FONASA,91
Hombre,25,Pobres no extremos,3e+05,366250,3e+05,180,3,1,1,150000,Pobres no extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,91
Hombre,39,No pobres,35000,435417,35000,168,2,2,0,180000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,53
Mujer,43,No pobres,380000,435417,400417,190,2,2,0,180000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,53
Hombre,23,Pobres extremos,,16667,16667,,1,0,0,4e+05,Pobres extremos sin transferencia Covid,Asiste,15,Profesional incompleto,Inactivos,Inactivos,,FONASA,136
Mujer,56,No pobres,320000,950000,320000,,5,3,0,220000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,136
Hombre,23,No pobres,,950000,,,5,3,0,220000,No pobres sin transferencia Covid,Asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,136
Hombre,59,No pobres,,950000,,,5,3,0,220000,No pobres sin transferencia Covid,Asiste,12,Media humanista completa,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,136
Mujer,23,No pobres,,950000,,,5,3,0,220000,No pobres sin transferencia Covid,Asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,Ninguno (particular),136
Mujer,27,No pobres,320000,950000,320000,180,5,3,0,220000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,136
Mujer,30,No pobres,150000,237500,237500,72,1,1,0,80000,No pobres sin transferencia Covid,No asiste,,No sabe,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,136
Mujer,30,No pobres,8e+05,8e+05,8e+05,180,4,1,0,350000,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,171
Mujer,58,No pobres,,1217879,79167,,4,2,2,250000,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Desocupados,Desocupados,,FONASA,47
Mujer,34,Pobres no extremos,1e+05,120000,120000,36,1,1,0,,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,47
Mujer,57,No pobres,,7e+05,7e+05,,1,1,0,380000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,130
Hombre,29,No pobres,350000,700416,350000,140,3,2,0,150000,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,192
Mujer,29,No pobres,320000,700416,350416,140,3,2,0,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,192
Hombre,63,No pobres,,577624,167624,,2,0,0,350000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,192
Mujer,59,No pobres,,577624,60000,,2,0,0,350000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,192
Hombre,31,No pobres,350000,931666,931666,24,1,1,0,120000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,111
Hombre,45,No pobres,520000,673810,560000,180,5,1,0,170000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,151
Hombre,13,No pobres,,673810,13155,,5,1,0,170000,No pobres sin transferencia Covid,Asiste,,Sin educación formal,,,,FONASA,151
Hombre,20,No pobres,,673810,,,5,1,0,170000,No pobres sin transferencia Covid,Asiste,14,Técnico nivel superior incompleta,Inactivos,Inactivos,,FONASA,151
Mujer,41,No pobres,,673810,87500,,5,1,0,170000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,151
Hombre,39,Pobres extremos,,178334,50000,,5,1,0,180000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,119
Hombre,16,Pobres extremos,,178334,,,5,1,0,180000,Pobres extremos sin transferencia Covid,Asiste,9,Media humanista incompleta,Inactivos,Inactivos,,FONASA,119
Mujer,35,Pobres extremos,,178334,128334,,5,1,0,180000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),119
Hombre,24,No pobres,,475333,133333,,2,1,1,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,218
Hombre,39,No pobres,,627917,360000,,4,1,1,250000,No pobres sin transferencia Covid,No asiste,9,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),170
Mujer,48,No pobres,,627917,267917,,4,1,1,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),170
Mujer,14,No pobres,,1040667,,,5,1,0,4e+05,No pobres sin transferencia Covid,Asiste,,Media humanista incompleta,,,,FONASA,201
Mujer,34,No pobres,,1040667,90667,,5,1,0,4e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,201
Hombre,33,No pobres,,1040667,950000,,5,1,0,4e+05,No pobres sin transferencia Covid,No asiste,15,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,201
Hombre,17,No pobres,,1040667,,,5,1,0,4e+05,No pobres sin transferencia Covid,Asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,201
Mujer,52,No pobres,320000,434167,434167,190,2,1,1,180000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,201
Hombre,48,No pobres,,434167,,,2,1,1,180000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),201
Mujer,46,Pobres no extremos,280000,354833,354833,16,3,1,0,2e+05,Pobres no extremos sin transferencia Covid,No asiste,7,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Mujer,44,No pobres,326500,842740,376500,45,4,2,0,170000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Mujer,37,No pobres,326500,842740,439930,45,4,2,0,170000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Mujer,21,Pobres no extremos,,283333,,,3,1,0,250000,Pobres no extremos sin transferencia Covid,Asiste,15,Profesional incompleto,Inactivos,Inactivos,,FONASA,57
Mujer,21,Pobres no extremos,,283333,,,3,1,0,250000,Pobres no extremos sin transferencia Covid,Asiste,15,Profesional incompleto,Inactivos,Inactivos,,FONASA,57
Mujer,39,Pobres no extremos,,283333,283333,160,3,1,0,250000,Pobres no extremos sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Hombre,60,No pobres,,320000,250000,,2,1,0,3e+05,No pobres sin transferencia Covid,No asiste,6,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,74
Mujer,73,No pobres,,320000,70000,,2,1,0,3e+05,No pobres sin transferencia Covid,No asiste,4,Básica incompleta,Inactivos,Inactivos,,FONASA,74
Hombre,40,No pobres,500003,809111,638096,180,5,1,0,220000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,74
Hombre,57,No pobres,,270833,270833,,1,1,0,1e+05,No pobres sin transferencia Covid,No asiste,4,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),74
Hombre,27,No pobres,,701667,401667,,4,1,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,486
Mujer,32,No pobres,,701667,,,4,1,0,3e+05,No pobres sin transferencia Covid,No asiste,14,Profesional incompleto,Inactivos,Inactivos,,FONASA,486
Hombre,15,No pobres,,695780,,,4,2,0,260000,No pobres sin transferencia Covid,Asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FONASA,486
Mujer,43,No pobres,3e+05,695780,379113,180,4,2,0,260000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,486
Mujer,29,No pobres,3e+05,695780,316667,180,4,2,0,260000,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,486
Hombre,35,No pobres,,2600000,2300000,,5,2,0,2e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,198
Mujer,27,No pobres,,2600000,3e+05,,5,2,0,2e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,198
Mujer,5,No pobres,,2600000,,,5,2,0,2e+05,No pobres sin transferencia Covid,Asiste,,Sin educación formal,,,,FONASA,198
Mujer,26,No pobres,,829167,,,5,2,0,250000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Inactivos,Inactivos,,FONASA,118
Mujer,50,No pobres,,829167,,,5,2,0,250000,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FONASA,118
Hombre,32,No pobres,,829167,4e+05,,5,2,0,250000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,118
Hombre,50,No pobres,425000,829167,429167,180,5,2,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,118
Mujer,49,No pobres,280000,6e+05,280000,28,2,2,0,120000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,118
Hombre,57,No pobres,320000,6e+05,320000,,2,2,0,120000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,118
Mujer,53,No pobres,,1110000,6e+05,,4,3,0,2e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,118
Mujer,37,Pobres no extremos,90000,360083,290083,32,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,93
Hombre,16,Pobres no extremos,,360083,35000,,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,Asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,93
Mujer,26,Pobres extremos,,43083,43083,,1,0,1,4e+05,Pobres extremos sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,FONASA,129
Mujer,36,Pobres extremos,,3e+05,,,6,1,0,240000,Pobres extremos sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,90
Mujer,53,No pobres,6e+05,880000,6e+05,200,3,2,0,280000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,267
Mujer,22,No pobres,280000,880000,280000,160,3,2,0,280000,No pobres sin transferencia Covid,No asiste,15,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,267
Hombre,42,No pobres,,1341508,,,2,2,0,233000,No pobres sin transferencia Covid,No asiste,14,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,121
Mujer,58,No pobres,458000,1341508,503583,180,2,2,0,233000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,121
Hombre,49,No pobres,,2450000,1500000,,3,2,0,5e+05,No pobres sin transferencia Covid,No asiste,13,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Isapre,191
Mujer,47,No pobres,450000,2450000,450000,180,3,2,0,5e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,191
Hombre,20,No pobres,,2450000,,,3,2,0,5e+05,No pobres sin transferencia Covid,Asiste,14,Profesional incompleto,Inactivos,Inactivos,,FONASA,191
Hombre,31,Pobres no extremos,4e+05,473333,473333,,5,1,1,4e+05,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,191
Mujer,28,Pobres no extremos,,473333,,,5,1,1,4e+05,Pobres no extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Desocupados,Desocupados,,FONASA,191
Mujer,36,Pobres extremos,252000,268666,268666,,4,1,0,350000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,134
Mujer,49,No pobres,,591275,66275,,4,2,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,246
Mujer,25,No pobres,,591275,375000,,4,2,0,250000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,246
Mujer,54,No pobres,4e+05,1848705,4e+05,,5,3,1,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,291
Mujer,24,No pobres,,1848705,,,5,3,1,,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,FONASA,291
Hombre,26,No pobres,,1848705,,,5,3,1,,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,291
Hombre,64,No pobres,450000,1848705,450000,,5,3,1,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,291
Mujer,35,No pobres,350000,692865,386426,140,5,2,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,251
Mujer,63,No pobres,,692865,250000,,5,2,0,3e+05,No pobres sin transferencia Covid,No asiste,3,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),251
Mujer,17,No pobres,,692865,9118,,5,2,0,3e+05,No pobres sin transferencia Covid,Asiste,11,Media técnica profesional incompleta,Inactivos,Inactivos,,FONASA,251
Hombre,42,No pobres,,692865,47321,,5,2,0,3e+05,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,251
Mujer,39,No pobres,370000,374167,374167,45,1,1,0,250000,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,221
Mujer,46,No pobres,,996667,,,3,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,221
Hombre,23,No pobres,360000,996667,365000,180,3,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,221
Hombre,46,No pobres,460000,996667,481667,190,3,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,221
Mujer,50,No pobres,,574922,324922,,4,2,0,270000,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,221
Mujer,38,No pobres,4e+05,463909,458909,160,3,2,0,250000,No pobres sin transferencia Covid,No asiste,13,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,218
Hombre,44,No pobres,,463909,5000,,3,2,0,250000,No pobres sin transferencia Covid,No asiste,13,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),218
Hombre,32,No pobres,450000,504083,466583,,4,1,1,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,229
Mujer,12,No pobres,,504083,,,4,1,1,3e+05,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,229
Mujer,27,No pobres,,504083,37500,,4,1,1,3e+05,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Desocupados,Desocupados,,FONASA,229
Mujer,10,No pobres,,504083,,,4,1,1,3e+05,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,229
Hombre,38,No pobres,,750000,4e+05,,2,2,0,2e+05,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,209
Mujer,43,Pobres no extremos,,532343,291843,,6,2,0,216000,Pobres extremos sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,216
Mujer,13,Pobres no extremos,,532343,13500,,6,2,0,216000,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,216
Mujer,22,Pobres no extremos,,532343,2e+05,,6,2,0,216000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,216
Hombre,23,No pobres,330000,1031310,332500,180,4,3,0,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,185
Mujer,56,No pobres,,1031310,145655,,4,3,0,150000,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),185
Mujer,28,Pobres no extremos,180000,333250,333250,96,4,1,1,150000,Pobres extremos sin transferencia Covid,No asiste,13,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,204
Mujer,9,Pobres no extremos,,333250,,,4,1,1,150000,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,Ninguno (particular),204
Mujer,4,Pobres no extremos,,333250,,,4,1,1,150000,Pobres extremos sin transferencia Covid,Asiste,,Sin educación formal,,,,Ninguno (particular),204
Hombre,30,Pobres no extremos,,333250,,,4,1,1,150000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),204
Hombre,32,No pobres,285000,612000,285000,180,2,2,0,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,255
Mujer,26,No pobres,290000,612000,327000,180,2,2,0,150000,No pobres sin transferencia Covid,Asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,255
Hombre,51,No pobres,,1292212,50000,,6,1,1,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,203
Mujer,38,No pobres,,785184,,,4,1,0,350000,No pobres sin transferencia Covid,No asiste,16,Técnico nivel superior completo,Inactivos,Inactivos,,Ninguno (particular),203
Hombre,31,Pobres no extremos,260000,276667,276667,140,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,388
Hombre,9,Pobres no extremos,,276667,,,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,388
Mujer,29,Pobres no extremos,,276667,,,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,6,Básica incompleta,Inactivos,Inactivos,,FONASA,388
Hombre,27,Pobres extremos,,380000,,,7,1,0,6e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,381
Mujer,43,Pobres extremos,,380000,,,7,1,0,6e+05,Pobres extremos sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,381
Mujer,27,Pobres extremos,380000,380000,380000,45,7,1,0,6e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,381
Hombre,24,Pobres extremos,,380000,,,7,1,0,6e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,381
Hombre,6,Pobres extremos,,380000,,,7,1,0,6e+05,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,381
